L,n,k,seed,er,e_model,n_type,axis,cut,len_A,len_B,balanced_cut,H_AB,H_A,H_B,MI,bootstrap_std,bootstrap_ci95_low,bootstrap_ci95_high,path
4,32,2,0,0.05,dep,made,x,2,15,15,True,8.296480178833008,4.699487686157227,4.671152114868164,1.0741596221923828,0.02174847967078622,1.0310028791427612,1.1154434919357301,/home/jinboyu/GND/generative_decoder/net/mi_scaling/p8_made_plateau_long_468/results/made_tor_n32_d4_k2_seed0_er0.05_dep_xmid.json
6,72,2,0,0.05,dep,made,x,3,35,35,True,20.342370986938477,10.931962966918945,10.924373626708984,1.5139656066894531,0.03241327841995302,1.4460763931274414,1.5686562061309814,/home/jinboyu/GND/generative_decoder/net/mi_scaling/p8_made_plateau_long_468/results/made_tor_n72_d6_k2_seed0_er0.05_dep_xmid.json
8,128,2,0,0.05,dep,made,x,4,63,63,True,37.88423156738281,19.872024536132812,19.87885856628418,1.8666515350341797,0.04488505203732326,1.784342384338379,1.9591492652893066,/home/jinboyu/GND/generative_decoder/net/mi_scaling/p8_made_plateau_long_468/results/made_tor_n128_d8_k2_seed0_er0.05_dep_xmid.json
10,200,2,0,0.05,dep,made,x,5,99,99,True,58.261444091796875,30.616802215576172,31.039880752563477,3.3952388763427734,0.059514611894865094,3.287977600097656,3.514272594451904,/home/jinboyu/GND/generative_decoder/net/mi_scaling/p8_made_plateau_40k_eval/results/made_tor_n200_d10_k2_seed0_er0.05_dep_xmid.json
12,288,2,0,0.05,dep,made,x,6,143,143,True,84.77328491210938,44.705570220947266,44.75878143310547,4.691066741943359,0.06945744403574901,4.558402442932129,4.817976570129394,/home/jinboyu/GND/generative_decoder/net/mi_scaling/p8_made_plateau_40k_eval/results/made_tor_n288_d12_k2_seed0_er0.05_dep_xmid.json
