mi_samples,n_repeats,eval_seeds,mi_mean,mi_std_across_seeds,mi_min,mi_max,mean_bootstrap_std
5000,5,"[0, 1, 2, 3, 4]",4.6771392822265625,0.17465757865150255,4.515110015869141,4.897945404052734,0.18488059823230454
10000,5,"[0, 1, 2, 3, 4]",4.713715362548828,0.07817104733457556,4.6198272705078125,4.8166961669921875,0.13025183978800822
20000,5,"[0, 1, 2, 3, 4]",4.717699432373047,0.13657707619876533,4.563396453857422,4.8992767333984375,0.09677196589863447
40000,5,"[0, 1, 2, 3, 4]",4.712979125976562,0.07252980669331527,4.597751617431641,4.7769775390625,0.06693030806468134
