mi_samples,n_repeats,eval_seeds,mi_mean,mi_std_across_seeds,mi_min,mi_max,mean_bootstrap_std
5000,5,"[0, 1, 2, 3, 4]",1.7155689239501952,0.13821135288245906,1.5614557266235352,1.8908004760742188,0.09226432158051581
10000,5,"[0, 1, 2, 3, 4]",1.737415885925293,0.033510457068678154,1.7048454284667969,1.7805852890014648,0.06530541030335321
20000,5,"[0, 1, 2, 3, 4]",1.7297370910644532,0.03948230855890549,1.6790943145751953,1.7691335678100586,0.04855811670623206
40000,5,"[0, 1, 2, 3, 4]",1.7220373153686523,0.03514806772178727,1.6798667907714844,1.7599964141845703,0.03342683189898645
