p,r,count_chunks,total_samples,cmi_mean,cmi_std,cmi_sem
0.050000,6,10,2000,0.003696658987779729,0.009741109078256118,0.003080409162343271
0.050000,10,10,2000,-0.009080074586294408,0.02029023028592357,0.006416334195284796
0.050000,14,10,2000,-0.002570985140923235,0.03425780329683963,0.01083326860520386
0.110000,6,10,2000,-0.001358623708559978,0.02546040915426088,0.008051288308726569
0.110000,10,10,2000,-0.07075335558179438,0.07993655948411525,0.02527815962873384
0.110000,14,10,2000,-0.1341576323108535,0.116831908189253,0.03694549332617178
0.150000,6,10,2000,-0.01914874107913428,0.006284357155991573,0.001987288224291144
0.150000,10,10,2000,-0.1072527223197865,0.01599157208217356,0.005056979114642979
0.150000,14,10,2000,-0.1564340810411133,0.03262737007173833,0.01031768034879045
