p,r,count_chunks,total_samples,cmi_mean,cmi_std,cmi_sem
0.050000,3,3,120,-0.04304333581291235,0.05161149030708111,0.02979790782207105
0.050000,4,3,120,-0.005282446709560891,0.01611576835933677,0.009304443200460737
0.050000,5,3,120,-0.006933628688312334,0.007642801858434872,0.004412573710330346
0.050000,6,3,120,-0.08700272335150595,0.1636153653860335,0.09446337524918542
0.050000,7,3,120,-0.03316078243578092,0.05576358638192194,0.03219512160858159
0.050000,8,3,120,0.03212171766365026,0.09245421495969755,0.05337846589469691
0.050000,9,3,120,0.01241137207280548,0.03095275851061576,0.01787058345826549
0.050000,10,3,120,0.0452254923895772,0.2375826287618292,0.137168394670421
0.050000,11,3,120,-0.02491610681124936,0.04935463775787585,0.02849491339526609
0.050000,12,3,120,0.00922952464051161,0.0769317370886784,0.04441655911737399
0.050000,13,3,120,-0.08447329775348635,0.07815786028717221,0.04512446167608404
0.050000,14,3,120,0.04375962980412935,0.1050700334129047,0.06066221207470349
0.110000,3,3,120,0.004662918051644324,0.0134920517274294,0.007789639696751721
0.110000,4,3,120,0.01281469990504031,0.001147981330943535,0.0006627873304449148
0.110000,5,3,120,-0.05538342846923207,0.1247140659214276,0.07200369953146894
0.110000,6,3,120,-0.03764656002435447,0.0684638198471868,0.03952760481852335
0.110000,7,3,120,-0.09868410722559565,0.03998127029194464,0.02308319716559743
0.110000,8,3,120,0.01835036515896156,0.2025306406616895,0.1169311199051738
0.110000,9,3,120,-0.01791058670079478,0.2881443076007507,0.1663601935587518
0.110000,10,3,120,-0.1147766403000645,0.1280346630355332,0.07392084716916809
0.110000,11,3,120,0.1764186200548998,0.2286472660568018,0.1320095606073665
0.110000,12,3,120,-0.3519351483325209,0.7009787496725816,0.4047102698196723
0.110000,13,3,120,-0.1388596755238352,0.1975736195568303,0.1140691824359047
0.110000,14,3,120,0.3302680206415474,0.2033831829117692,0.1174233354027528
0.150000,3,3,120,0.004362796824660778,0.008847781756935401,0.005108269179097714
0.150000,4,3,120,-0.001910277246955161,0.01485598355237502,0.008577106103040374
0.150000,5,3,120,-0.002084194279218465,0.0223960653501111,0.0129303743586751
0.150000,6,3,120,-0.03758202974973071,0.02920222685568067,0.01685991353606376
0.150000,7,3,120,-0.09100893665457595,0.02948678597776783,0.01702420382180114
0.150000,8,3,120,-0.113097379775423,0.02964696761746347,0.01711668473459866
0.150000,9,3,120,-0.1637672748529901,0.03363488854030978,0.01941911195291091
0.150000,10,3,120,-0.1456650386287781,0.1091725106463985,0.06303077840980545
0.150000,11,3,120,-0.2381471006764755,0.1211380386246538,0.06993907920904716
0.150000,12,3,120,-0.1864884862442036,0.02114395439706791,0.01220746776288033
0.150000,13,3,120,-0.1858713773978516,0.1203220524244654,0.06946796935671337
0.150000,14,3,120,0.04013228873619844,0.172252179914633,0.09944984244221323
