p,r,count,cmi_mean,cmi_std,cmi_sem
0.050000,1,1,0.07943728776981705,0.0,0.0
0.050000,2,1,0.03149572777480555,0.0,0.0
0.050000,3,1,0.01984039579738011,0.0,0.0
0.050000,4,1,0.007328019865600809,0.0,0.0
0.050000,5,1,0.006002235164555832,0.0,0.0
0.050000,6,1,0.005319826922109317,0.0,0.0
0.110000,1,1,0.03149999673632067,0.0,0.0
0.110000,2,1,0.02589997536938726,0.0,0.0
0.110000,3,1,0.01807791458214842,0.0,0.0
0.110000,4,1,0.01101074119144769,0.0,0.0
0.110000,5,1,-0.02200749454900057,0.0,0.0
0.110000,6,1,-0.04548844652226543,0.0,0.0
0.150000,1,1,0.00992485829786709,0.0,0.0
0.150000,2,1,0.002730639820737393,0.0,0.0
0.150000,3,1,0.002365868199157819,0.0,0.0
0.150000,4,1,-0.004780584313869427,0.0,0.0
0.150000,5,1,-0.02507829227794431,0.0,0.0
0.150000,6,1,-0.05581913030875515,0.0,0.0
