p,r,sigma_chi,variant_span,note
0.110000,5,0.0007069606321071309,0.0014139212642142619,halfspan_chi96_128
0.110000,6,0.0001402492785347576,0.0002804985570695152,halfspan_chi128_192
0.150000,4,0.00033425906497676935,0.0006685181299535387,halfspan_chi128_160
0.150000,5,9.888562412940587e-05,0.00019777124825881174,halfspan_chi160_192
0.150000,6,0.0014695151517799929,0.0029390303035599858,halfspan_chi128_160_192_256
