p,r,count_chunks,total_samples,cmi_mean,cmi_std,cmi_sem
0.050000,6,10,2000,0.003696658987779729,0.009741109078256118,0.003080409162343271
0.050000,8,10,2000,-0.001157594308219907,0.01015000154885849,0.003209712314862964
0.050000,10,10,2000,-0.009080074586294408,0.02029023028592357,0.006416334195284796
0.110000,6,10,2000,-0.001358623708559978,0.02546040915426088,0.008051288308726569
0.110000,8,10,2000,-0.0478203139123418,0.03218265984576214,0.01017705062750516
0.110000,10,10,2000,-0.07075335558179437,0.07993655948411525,0.02527815962873384
0.150000,6,10,2000,-0.01914874107913428,0.006284357155991573,0.001987288224291144
0.150000,8,10,2000,-0.0584196056684826,0.01565109419004189,0.004949310551436058
0.150000,10,10,2000,-0.1072527223197865,0.01599157208217356,0.005056979114642979
