p,r,count_chunks,total_samples,cmi_mean,cmi_std,cmi_sem
0.050000,6,4,200,0.01563534517568104,0.009302744744007215,0.004651372372003608
0.050000,10,4,200,-0.08907780514460097,0.0618519197873785,0.03092595989368925
0.050000,14,4,200,-0.03694235974141027,0.09495086010536857,0.04747543005268429
0.110000,6,4,200,-0.0007368636487639724,0.05829913303471603,0.02914956651735802
0.110000,10,4,200,-0.05304590330700295,0.250382958016946,0.125191479008473
0.110000,14,4,200,-0.003071115796223138,0.1319128929649338,0.06595644648246692
0.150000,6,4,200,-0.0186346694308552,0.005813727836619349,0.002906863918309674
0.150000,10,4,200,-0.09040028635771791,0.02392280997741034,0.01196140498870517
0.150000,14,4,200,-0.1670220448561633,0.09173045614983261,0.0458652280749163
