p,r,max_bond,count_chunks,total_samples,cmi_mean,cmi_sem,status,note
0.150000,7,192,100,1000,-0.007378081141615269,0.001223688522478091,full,full_scout_completed
0.150000,7,256,96,960,-0.002296066672231027,0.001132826368253245,partial,interrupted_after_96_of_100_chunks
