p,r,L,chunk_id,chunk_samples,seed,method,max_bond,cmi,elapsed_sec,attempts
0.050000,12,50,1,40,1003726,bmps,16,-0.07771853497338696,183.272,1
0.110000,11,46,2,40,2004226,bmps,16,0.06225460895845864,155.853,1
0.050000,12,50,0,40,3726,bmps,16,0.03693908907387496,184.488,1
0.150000,9,38,1,40,1004426,bmps,16,-0.1295685569990631,90.245,1
0.150000,9,38,0,40,4426,bmps,16,-0.1968084498615575,94.334,1
0.150000,9,38,2,40,2004426,bmps,16,-0.1649248176983498,93.629,1
0.110000,12,50,0,40,4326,bmps,16,0.2775043932216562,166.591,1
0.050000,13,54,2,40,2003826,bmps,16,-0.1716348086457967,198.514,1
0.050000,13,54,1,40,1003826,bmps,16,-0.02062423234087413,198.935,1
0.110000,12,50,2,40,2004326,bmps,16,-1.107365260647661,168.961,1
0.110000,12,50,1,40,1004326,bmps,16,-0.2259445775715577,169.801,1
0.050000,13,54,0,40,3826,bmps,16,-0.06116085227378826,199.607,1
0.150000,10,42,0,40,4526,bmps,16,-0.2567662461653626,97.190,1
0.150000,10,42,2,40,2004526,bmps,16,-0.1416995910953233,95.239,1
0.150000,10,42,1,40,1004526,bmps,16,-0.03852927862564855,95.647,1
0.050000,14,58,0,40,3926,bmps,16,0.1648053547120819,206.948,1
0.050000,14,58,1,40,1003926,bmps,16,-0.009645558695520041,207.952,1
0.110000,13,54,0,40,4426,bmps,16,-0.00895397672159485,168.695,1
0.110000,13,54,2,40,2004426,bmps,16,-0.04139726329965957,167.460,1
0.050000,14,58,2,40,2003926,bmps,16,-0.02388090660417383,211.367,1
0.110000,13,54,1,40,1004426,bmps,16,-0.3662277865502513,171.744,1
0.150000,11,46,0,40,4626,bmps,16,-0.3304117949177098,91.685,1
0.150000,11,46,1,40,1004626,bmps,16,-0.2830633342655915,91.559,1
0.150000,11,46,2,40,2004626,bmps,16,-0.1009661728461253,92.146,1
0.110000,14,58,0,40,4526,bmps,16,0.3974343073230031,177.823,1
0.110000,14,58,1,40,1004526,bmps,16,0.101797123602978,177.523,1
0.150000,12,50,0,40,4726,bmps,16,-0.19970274825599,101.243,1
0.150000,12,50,1,40,1004726,bmps,16,-0.1976606765740132,100.129,1
0.150000,12,50,2,40,2004726,bmps,16,-0.1621020339026074,100.424,1
0.110000,14,58,2,40,2004526,bmps,16,0.491572630998661,177.755,1
0.150000,13,54,1,40,1004826,bmps,16,-0.08411910061521556,105.969,1
0.150000,13,54,0,40,4826,bmps,16,-0.3186758498793864,106.943,1
0.150000,13,54,2,40,2004826,bmps,16,-0.154819181698953,99.629,1
0.150000,14,58,0,40,4926,bmps,16,-0.1587550639319687,103.191,1
0.150000,14,58,1,40,1004926,bmps,16,0.1414940883273175,97.716,1
0.150000,14,58,2,40,2004926,bmps,16,0.1376578418132465,98.441,1
