p,r,L,chunk_id,chunk_samples,seed,method,max_bond,cmi,elapsed_sec,attempts
0.050000,6,26,9,200,9003126,bmps,64,0.004545426866831939,2036.080,1
0.050000,6,26,1,200,1003126,bmps,64,-0.005734864043731457,2047.680,1
0.050000,6,26,8,200,8003126,bmps,64,-0.01009399287027313,2051.171,1
0.110000,6,26,7,200,7003726,bmps,64,-0.003128073625633269,2062.476,1
0.150000,6,26,0,200,4126,bmps,64,-0.005132582463521373,2063.145,1
0.150000,6,26,3,200,3004126,bmps,64,-0.008177146988474817,2068.045,1
0.050000,6,26,5,200,5003126,bmps,64,0.005592207225213457,2076.169,1
0.050000,6,26,3,200,3003126,bmps,64,-0.001646167852654834,2076.353,1
0.050000,6,26,6,200,6003126,bmps,64,0.009969216201340246,2076.877,1
0.110000,6,26,5,200,5003726,bmps,64,0.02776014331918075,2088.262,1
0.110000,6,26,6,200,6003726,bmps,64,-0.003526280894210103,2093.966,1
0.050000,6,26,7,200,7003126,bmps,64,0.01230922812635708,2098.171,1
0.110000,6,26,2,200,2003726,bmps,64,0.03180994665282753,2102.757,1
0.050000,6,26,2,200,2003126,bmps,64,0.001791816061096334,2107.583,1
0.110000,6,26,8,200,8003726,bmps,64,0.01714257743651103,2108.972,1
0.110000,6,26,0,200,3726,bmps,64,0.02783990638707735,2111.974,1
0.150000,6,26,2,200,2004126,bmps,64,-5.655514572332265e-05,2114.348,1
0.110000,6,26,3,200,3003726,bmps,64,0.003069459446234575,2115.563,1
0.110000,6,26,4,200,4003726,bmps,64,0.00464818441482997,2122.651,1
0.150000,6,26,1,200,1004126,bmps,64,-0.006902510060587872,2123.647,1
0.110000,6,26,1,200,1003726,bmps,64,-0.01750504450337256,2127.260,1
0.050000,6,26,0,200,3126,bmps,64,-0.001623453646720137,2135.054,1
0.110000,6,26,9,200,9003726,bmps,64,-0.01549185707662932,2197.879,1
0.050000,6,26,4,200,4003126,bmps,64,0.00760019166557715,2697.675,1
0.150000,6,26,4,200,4004126,bmps,64,-0.006743555534668814,2063.195,1
0.150000,6,26,5,200,5004126,bmps,64,-0.008177763351885404,2067.804,1
0.150000,6,26,6,200,6004126,bmps,64,0.001193834788540968,2074.707,1
0.050000,8,34,9,200,9003326,bmps,64,0.005735658461558258,4135.058,1
0.050000,8,34,4,200,4003326,bmps,64,0.002503325721331874,4135.377,1
0.110000,8,34,1,200,1003926,bmps,64,-0.01738939238414819,4157.382,1
0.150000,6,26,7,200,7004126,bmps,64,-0.005683235800950683,2098.084,1
0.050000,8,34,3,200,3003326,bmps,64,-0.02248854239937408,4167.492,1
0.150000,6,26,8,200,8004126,bmps,64,-0.009389978116647555,2107.300,1
0.050000,8,34,2,200,2003326,bmps,64,0.002133982137510713,4191.291,1
0.050000,8,34,6,200,6003326,bmps,64,0.005377889318980493,4193.850,1
0.050000,8,34,0,200,3326,bmps,64,-0.004582338846110971,4194.892,1
0.050000,8,34,8,200,8003326,bmps,64,0.0009298112860702879,4196.165,1
0.110000,8,34,2,200,2003926,bmps,64,-0.004064399198873392,4203.780,1
0.110000,8,34,8,200,8003926,bmps,64,-0.03344640732823696,4207.573,1
0.150000,6,26,9,200,9004126,bmps,64,-0.005750510121694745,2142.145,1
0.110000,8,34,6,200,6003926,bmps,64,-0.07128302970490609,4217.495,1
0.050000,8,34,5,200,5003326,bmps,64,-0.005435132469485353,4218.191,1
0.110000,8,34,9,200,9003926,bmps,64,-0.01491714649099826,4233.482,1
0.110000,8,34,5,200,5003926,bmps,64,-0.0590568907810694,4234.389,1
0.110000,8,34,4,200,4003926,bmps,64,0.03139905413546303,4239.461,1
0.110000,8,34,3,200,3003926,bmps,64,0.01483112230543332,4240.669,1
0.050000,8,34,7,200,7003326,bmps,64,0.001060232981368178,4245.791,1
0.110000,8,34,0,200,3926,bmps,64,-0.009968132051901196,4249.649,1
0.110000,8,34,7,200,7003926,bmps,64,-0.02570339459859814,4282.958,1
0.050000,8,34,1,200,1003326,bmps,64,-0.01922152191067094,5416.252,1
0.150000,8,34,2,200,2004326,bmps,64,-0.02917853829289484,3392.883,1
0.150000,8,34,5,200,5004326,bmps,64,-0.03292824669840229,3377.180,1
0.150000,8,34,1,200,1004326,bmps,64,-0.03901087782535797,3406.219,1
0.150000,8,34,6,200,6004326,bmps,64,-0.03170121917543824,3383.397,1
0.150000,8,34,7,200,7004326,bmps,64,-0.03349865905903627,3379.791,1
0.150000,8,34,0,200,4326,bmps,64,-0.03993872744793989,3415.494,1
0.150000,8,34,3,200,3004326,bmps,64,-0.02422207440859936,3406.319,1
0.150000,8,34,9,200,9004326,bmps,64,-0.02923115384916827,3386.475,1
0.150000,8,34,4,200,4004326,bmps,64,-0.03453854726529016,3404.685,1
0.150000,8,34,8,200,8004326,bmps,64,-0.04332591914703599,3393.623,1
0.050000,10,42,2,200,2003526,bmps,64,-0.01318361871084124,5771.695,1
0.050000,10,42,3,200,3003526,bmps,64,-0.009793439203251431,5775.156,1
0.050000,10,42,8,200,8003526,bmps,64,-0.0006204353312328141,5775.867,1
0.050000,10,42,7,200,7003526,bmps,64,-0.0201161754860436,5775.910,1
0.110000,10,42,7,200,7004126,bmps,64,-0.03765218266175145,5777.435,1
0.050000,10,42,1,200,1003526,bmps,64,-0.02870160913725248,5780.798,1
0.050000,10,42,5,200,5003526,bmps,64,-0.0009247917060123733,5787.929,1
0.050000,10,42,4,200,4003526,bmps,64,0.003805717840400433,5788.937,1
0.050000,10,42,0,200,3526,bmps,64,0.003896167279505153,5799.391,1
0.110000,10,42,2,200,2004126,bmps,64,-0.09519657200464172,5827.003,1
0.110000,10,42,6,200,6004126,bmps,64,-0.03267153108068371,5831.431,1
0.110000,10,42,0,200,4126,bmps,64,-0.1475896808589621,5833.822,1
0.110000,10,42,3,200,3004126,bmps,64,-0.004870176577851838,5835.497,1
0.110000,10,42,8,200,8004126,bmps,64,-0.04867169250972665,5838.418,1
0.110000,10,42,4,200,4004126,bmps,64,-0.1566617327958791,5839.931,1
0.110000,10,42,9,200,9004126,bmps,64,-0.08336331623141405,5843.021,1
0.050000,10,42,9,200,9003526,bmps,64,-0.004121190537566466,6004.290,1
0.050000,10,42,6,200,6003526,bmps,64,-0.01314176524243734,6048.062,1
0.110000,10,42,5,200,5004126,bmps,64,-0.02046858520476557,6123.206,1
0.150000,10,42,2,200,2004526,bmps,64,-0.07103173464022347,4449.496,1
0.150000,10,42,1,200,1004526,bmps,64,-0.06364555584667414,4461.548,1
0.150000,10,42,4,200,4004526,bmps,64,-0.08573036221292796,4456.468,1
0.150000,10,42,0,200,4526,bmps,64,-0.09034318661330758,4481.892,1
0.150000,10,42,3,200,3004526,bmps,64,-0.07277726063203743,4475.973,1
0.150000,10,42,5,200,5004526,bmps,64,-0.06776110653466645,4471.922,1
0.150000,10,42,6,200,6004526,bmps,64,-0.06215032319803328,4431.429,1
0.110000,10,42,1,200,1004126,bmps,64,-0.1147796424201348,6764.368,1
0.150000,10,42,7,200,7004526,bmps,64,-0.07000069085909701,4069.861,1
0.150000,10,42,8,200,8004526,bmps,64,-0.0527372993813492,3175.598,1
0.150000,10,42,9,200,9004526,bmps,64,-0.08533157197937441,3176.234,1
