p,r,count_chunks,total_samples,cmi_mean,cmi_std,cmi_sem
0.050000,7,100,500,-0.001225121154817031,0.03498870574393623,0.003498870574393623
0.050000,8,100,500,-0.007033502195401752,0.05268660031787565,0.005268660031787565
0.110000,7,100,500,-0.02144755725038652,0.1313831786749818,0.01313831786749818
0.110000,8,100,500,-0.005146043773834989,0.1246498368576809,0.01246498368576809
0.150000,7,100,500,-0.0100499782910972,0.02467246117903398,0.002467246117903398
0.150000,8,100,500,-0.02193314810730169,0.0316936508137112,0.00316936508137112
