p,r,max_bond,num_samples,count,cmi_mean,cmi_std,cmi_sem
0.110000,5,32,2000,3,0.00230168930136781,0.003876707723147081,0.002238218247528468
0.110000,6,32,2000,3,-0.004047804550759674,0.008633136730530943,0.004984343815322886
0.150000,5,32,2000,3,-0.005782965572721049,0.0009982372255874965,0.0005763325309080463
0.150000,6,32,2000,3,-0.02007902451355384,0.002483458831919666,0.001433825625130173
