backend,L,p,r,num_samples,max_bond,seed,cmi,elapsed_s,ms_per_sample
custom_bmps,18,0.11,4,20,16,42,-0.04340229923998997,2.3880512714385986,119.40256357192993
quimb_bmps,18,0.11,4,20,16,42,-0.007852172241009115,10.450598880648613,522.5299440324306
custom_bmps,18,0.11,4,20,32,42,0.0025211070687596758,19.386986557394266,969.3493278697133
quimb_bmps,18,0.11,4,20,32,42,-0.009052385933270202,44.676135428249836,2233.806771412492
