p,r,count,cmi_mean,cmi_std,cmi_sem
0.050000,1,2,0.08488630277471908,0.02655080439357587,0.01877425383265507
0.050000,2,2,0.0457623368963248,0.01076925767631868,0.007615015131270219
0.050000,3,2,0.01771666408105441,0.01617178740341812,0.01143518053686414
0.050000,4,2,0.03220734542070915,0.01047287247266619,0.007405439143924185
0.050000,5,2,0.001849495548835707,0.004633041708332016,0.003276055209481675
0.050000,6,2,0.01554467766312211,0.008786576800399293,0.006213048038978737
0.110000,1,2,0.01374893929583275,0.001604655254376854,0.001134662611836498
0.110000,2,2,0.0178106152915636,0.02606276126089086,0.01842915522402198
0.110000,3,2,0.03087060757566558,0.01775955859232707,0.01255790431151428
0.110000,4,2,-0.005719407412858785,0.03179295038602478,0.02248101081188558
0.110000,5,2,-0.01050238787882769,0.01021726076274208,0.007224694370486161
0.110000,6,2,-0.03883916426755523,0.06327207125096192,0.04474011064127357
0.150000,1,2,0.0107925407915095,0.00286095370056364,0.002022999762329297
0.150000,2,2,0.007193017509417914,0.001758738951352662,0.001243616238838385
0.150000,3,2,0.002983457794574505,0.0009309963671415999,0.0006583138444658659
0.150000,4,2,0.00127756229111192,0.0005240044307756486,0.0003705270863732579
0.150000,5,2,-0.01720188045013357,0.01604319939155751,0.01134425508169821
0.150000,6,2,-0.08434272214276742,0.01898075047765383,0.01342141737475882
