mi_samples,n_repeats,eval_seeds,mi_mean,mi_std_across_seeds,mi_min,mi_max,mean_bootstrap_std
5000,5,"[0, 1, 2, 3, 4]",3.3579051971435545,0.09327913158490599,3.2540740966796875,3.486013412475586,0.15868760545165173
10000,5,"[0, 1, 2, 3, 4]",3.3790969848632812,0.06840924838241891,3.299816131591797,3.465555191040039,0.1116446561594558
20000,5,"[0, 1, 2, 3, 4]",3.3658397674560545,0.09603012146041627,3.280811309814453,3.522930145263672,0.07829339672355926
40000,5,"[0, 1, 2, 3, 4]",3.414570999145508,0.046709800182244035,3.3686676025390625,3.48101806640625,0.05562994556431601
