dataset,p,model,parameter,r2,points
old_baseline,0.05,exp,-0.7952190773077156,0.9710362716578563,6
old_baseline,0.15,exp,-0.3051340165768516,0.4674640272722898,6
old_baseline,0.11,power,0.7562780804445526,0.7124541864263652,6
today_best,0.05,exp,-0.7760734459565203,0.9983880809554078,6
today_best,0.15,exp,-0.2784445210934013,0.5320861980214489,6
today_best,0.11,power,0.7655510577482777,0.7075919791115151,6
