p,model,fit_mode,parameter_name,full_parameter,full_r2,full_weighted_r2,loo_parameter_min,loo_parameter_max,loo_r2_min,loo_r2_max,loo_weighted_r2_min,loo_weighted_r2_max,loo_points
0.050000,exp,unweighted,b,-0.7760734459565203,0.9983880809554078,nan,-0.7880839911322356,-0.7662645899270971,0.99718437648487,0.9996542122456937,nan,nan,6
0.050000,exp,weighted,b,-0.7792999215741657,0.9983692413956117,0.9991315966415766,-0.7903380722972237,-0.7704672486902578,0.9971496196194637,0.9996460342737516,0.9979762524100462,0.999684997836307,6
0.110000,power,unweighted,alpha,0.7655510577482777,0.7075919791115151,nan,0.541234194648465,1.355096307643081,0.6752089265223202,0.911782371292378,nan,nan,6
0.110000,power,weighted,alpha,0.4902784652938009,0.4536353675819803,0.4731190116325671,0.3853758501557147,1.150092039577034,0.3965982320469815,0.8748345522044874,0.3826591704988566,0.9314057256995162,6
0.150000,exp,unweighted,b,-0.2784445210934013,0.5320861980214489,nan,-0.3066281610709337,-0.2316842203719696,0.3321852794849538,0.7778652834450056,nan,nan,6
0.150000,exp,weighted,b,-0.2449587766130339,0.2013335648942552,0.3022660979418904,-0.3096100707840449,-0.1719319742107784,-0.2433134118833153,0.7756650720848743,0.1396088946015384,0.8161937899301551,6
