L,n,k,seed,er,e_model,n_type,axis,cut,len_A,len_B,balanced_cut,H_AB,H_A,H_B,MI,bootstrap_std,bootstrap_ci95_low,bootstrap_ci95_high,path
4,32,2,0,0.05,dep,made,x,2,15,15,True,8.296480178833008,4.699487686157227,4.671152114868164,1.0741596221923828,0.02174847967078622,1.0310028791427612,1.1154434919357301,/home/jinboyu/GND/generative_decoder/net/mi_scaling/p8_made_plateau_long_468/results/made_tor_n32_d4_k2_seed0_er0.05_dep_xmid.json
6,72,2,0,0.05,dep,made,x,3,35,35,True,20.342370986938477,10.931962966918945,10.924373626708984,1.5139656066894531,0.03241327841995302,1.4460763931274414,1.5686562061309814,/home/jinboyu/GND/generative_decoder/net/mi_scaling/p8_made_plateau_long_468/results/made_tor_n72_d6_k2_seed0_er0.05_dep_xmid.json
8,128,2,0,0.05,dep,made,x,4,63,63,True,37.88423156738281,19.872024536132812,19.87885856628418,1.8666515350341797,0.04488505203732326,1.784342384338379,1.9591492652893066,/home/jinboyu/GND/generative_decoder/net/mi_scaling/p8_made_plateau_long_468/results/made_tor_n128_d8_k2_seed0_er0.05_dep_xmid.json
