p,model,parameter_name,v1_parameter,v2_parameter,delta_parameter,v1_r2,v2_r2,delta_r2
0.050000,exp,b,-0.7792999215741657,-0.7792999215741657,0,0.9983692413956117,0.9983692413956117,0
0.110000,power,alpha,0.8061281294992348,0.8061281294992348,0,0.7106493709657875,0.7106493709657875,0
0.150000,exp,b,-0.3071624233464194,-0.438423422085084,-0.1312609987386646,0.6749620861170191,0.912145507420084,0.2371834213030649
