p,r,count_chunks,total_samples,cmi_mean,cmi_sem,mean_minus_2sem,decision,run_tag,max_bond,workers,chunk,samples_per_point
0.050000,7,100,500,-0.001225121154817031,0.003498870574393623,-0.008222862303604276,fail_mean_nonpositive,P9_stage1_verify,128,120,5,500
0.050000,8,100,500,-0.007033502195401752,0.005268660031787565,-0.01757082225897688,fail_mean_nonpositive,P9_stage1_verify,128,120,5,500
0.110000,7,100,500,-0.02144755725038652,0.01313831786749818,-0.04772419298538288,fail_mean_nonpositive,P9_stage1_verify,128,120,5,500
0.110000,8,100,500,-0.005146043773834989,0.01246498368576809,-0.03007601114537117,fail_mean_nonpositive,P9_stage1_verify,128,120,5,500
0.150000,7,100,500,-0.0100499782910972,0.002467246117903398,-0.014984470526904,fail_mean_nonpositive,P9_stage1_verify,128,120,5,500
0.150000,8,100,500,-0.02193314810730169,0.00316936508137112,-0.02827187827004393,fail_mean_nonpositive,P9_stage1_verify,128,120,5,500
