p,r,variants,chi_span,sem_min,sem_max
0.110000,5,chi96:0.01511163864443346±0.002580245843824774;chi128:0.01652555990864772±0.002706158417139729,0.001413921264214262,0.002580245843824774,0.002706158417139729
0.110000,6,chi128:0.008070202205396748±0.002680349651998403;chi192:0.007789703648327233±0.00240015709582948,0.0002804985570695152,0.00240015709582948,0.002680349651998403
0.150000,5,chi96:-4.782382004455314e-05±0.0005747723887994732;chi128:0.002156752464977356±0.0005163759432945953,0.002204576285021909,0.0005163759432945953,0.0005747723887994732
0.150000,6,chi128:-4.335728789475013e-05±0.001155490404016442;chi160:-0.0009470148715588919±0.001105912156526234;chi192:-0.001698005093141745±0.001091100363346491;chi256:0.001241025210418241±0.0004257069900252226,0.002939030303559986,0.0004257069900252226,0.001155490404016442
