p,model,window,fit_mode,kept_r,points,parameter_name,parameter,intercept,r2
0.110000,power,r1to6,unweighted,"1,2,3,4,5,6",6,alpha,0.5195794629852689,-3.538241839700954,0.6114800823368725
0.110000,power,r1to6,weighted,"1,2,3,4,5,6",6,alpha,0.3898418008584937,-3.544721204131961,0.4592267701253261
0.110000,power,r2to6,unweighted,"2,3,4,5,6",5,alpha,0.9057233752332997,-2.985963478258349,0.7499605547541208
0.110000,power,r2to6,weighted,"2,3,4,5,6",5,alpha,0.7977132337841458,-3.052893117870266,0.7049521306675658
0.110000,power,r3to6,unweighted,"3,4,5,6",4,alpha,0.8081728830505869,-3.137905165531704,0.4643061317305681
0.110000,power,r3to6,weighted,"3,4,5,6",4,alpha,0.4125652386725617,-3.628747472341542,0.2645642772182315
0.110000,power,r1to5,unweighted,"1,2,3,4,5",5,alpha,0.3203731778356637,-3.651831688778039,0.5532085557563426
0.110000,power,r1to5,weighted,"1,2,3,4,5",5,alpha,0.3121386184792757,-3.583093360555354,0.4549031437592075
0.150000,exp,r1to6,unweighted,"1,2,3,4,5,6",6,b,-0.28968036775635,-5.097617814699746,0.5292726629787099
0.150000,exp,r1to6,weighted,"1,2,3,4,5,6",6,b,-0.2049041740796511,-4.956959862574827,0.07026498004149129
0.150000,exp,r2to6,unweighted,"2,3,4,5,6",5,b,-0.2531979686661233,-5.267869010454134,0.3345808387440283
0.150000,exp,r2to6,weighted,"2,3,4,5,6",5,b,-0.2465849461568619,-4.776213793043004,-0.3661182519353177
0.150000,exp,r3to6,unweighted,"3,4,5,6",4,b,-0.1855923577776948,-5.605897064896278,0.1228818094441667
0.150000,exp,r3to6,weighted,"3,4,5,6",4,b,-0.3744171683119712,-4.202620352709963,-0.8788880894500495
0.150000,exp,r1to5,unweighted,"1,2,3,4,5",5,b,-0.3328451366178143,-4.996900020689663,0.4673616053410733
0.150000,exp,r1to5,weighted,"1,2,3,4,5",5,b,-0.08242983043192967,-5.318439508132819,-0.1866552252723517
