mi_samples,n_repeats,eval_seeds,mi_mean,mi_std_across_seeds,mi_min,mi_max,mean_bootstrap_std
5000,5,"[0, 1, 2, 3, 4]",1.6706462860107423,0.15724437582563672,1.4905338287353516,1.8563480377197266,0.1235318295037926
10000,5,"[0, 1, 2, 3, 4]",1.7620990753173829,0.10805643349428413,1.6067924499511719,1.865152359008789,0.09362306221164544
20000,5,"[0, 1, 2, 3, 4]",1.7711254119873048,0.031820996080222395,1.7199687957763672,1.8033332824707031,0.06384313579247344
40000,5,"[0, 1, 2, 3, 4]",1.7772693634033203,0.03367568428618098,1.7382068634033203,1.8137321472167969,0.04642768754498703
