L,n,k,seed,er,e_model,n_type,axis,cut,len_A,len_B,balanced_cut,H_AB,H_A,H_B,MI,bootstrap_std,bootstrap_ci95_low,bootstrap_ci95_high,path
4,32,2,0,0.05,dep,made,x,2,15,15,True,8.432579040527344,4.782900810241699,4.704161167144775,1.0544829368591309,0.03006413574469621,0.993819260597229,1.1099154233932496,/home/jinboyu/GND/generative_decoder/net/mi_scaling/p8_made_plateau_even/results/made_tor_n32_d4_k2_seed0_er0.05_dep_xmid.json
6,72,2,0,0.05,dep,made,x,3,35,35,True,20.05638313293457,10.851515769958496,10.94417667388916,1.739309310913086,0.04186322644317363,1.658148956298828,1.826773500442505,/home/jinboyu/GND/generative_decoder/net/mi_scaling/p8_made_plateau_even/results/made_tor_n72_d6_k2_seed0_er0.05_dep_xmid.json
8,128,2,0,0.05,dep,made,x,4,63,63,True,37.61643600463867,19.80183219909668,19.57964515686035,1.7650413513183594,0.06966983358526652,1.6404023170471191,1.9054086685180667,/home/jinboyu/GND/generative_decoder/net/mi_scaling/p8_made_plateau_even/results/made_tor_n128_d8_k2_seed0_er0.05_dep_xmid.json
10,200,2,0,0.05,dep,made,x,5,99,99,True,58.261138916015625,30.548999786376953,31.090072631835938,3.3779335021972656,0.0825360900664764,3.2168359756469727,3.540431594848633,/home/jinboyu/GND/generative_decoder/net/mi_scaling/p8_made_plateau_even/results/made_tor_n200_d10_k2_seed0_er0.05_dep_xmid.json
12,288,2,0,0.05,dep,made,x,6,143,143,True,84.806396484375,44.676937103271484,44.767765045166016,4.6383056640625,0.09875546265847043,4.45628719329834,4.827872467041016,/home/jinboyu/GND/generative_decoder/net/mi_scaling/p8_made_plateau_even/results/made_tor_n288_d12_k2_seed0_er0.05_dep_xmid.json
