mi_samples,n_repeats,eval_seeds,mi_mean,mi_std_across_seeds,mi_min,mi_max,mean_bootstrap_std
5000,5,"[0, 1, 2, 3, 4]",1.0566085815429687,0.058598181392559984,0.9954929351806641,1.134824275970459,0.06372556131738752
10000,5,"[0, 1, 2, 3, 4]",1.0431598663330077,0.02897944158588362,1.006232738494873,1.069840431213379,0.04520319987111968
20000,5,"[0, 1, 2, 3, 4]",1.082705020904541,0.02844128438424895,1.0544829368591309,1.1250653266906738,0.031357271420043305
40000,5,"[0, 1, 2, 3, 4]",1.0530624389648438,0.022528764504674868,1.016007900238037,1.0764904022216797,0.022426829498376634
